Temp,Initial,Final,Rep,r,Clone
13,3,2,1,-0.405465108,CU123
13,3,2,2,-0.405465108,CU123
13,3,2,3,-0.405465108,CU123
13,3,1,4,-1.098612289,CU123
13,3,1,5,-1.098612289,CU123
13,3,2,6,-0.405465108,CU123
19,3,3,1,0,CU123
19,3,2,2,-0.405465108,CU123
19,3,3,3,0,CU123
19,3,3,4,0,CU123
19,3,2,5,-0.405465108,CU123
19,3,4,6,0.287682072,CU123
22,3,7,1,0.84729786,CU123
22,3,8,2,0.980829253,CU123
22,3,8,3,0.980829253,CU123
22,3,10,4,1.203972804,CU123
22,3,5,5,0.510825624,CU123
22,3,8,6,0.980829253,CU123
25,3,30,1,2.302585093,CU123
25,3,9,2,1.098612289,CU123
25,3,17,3,1.734601055,CU123
25,3,13,4,1.466337069,CU123
25,3,15,5,1.609437912,CU123
25,3,16,6,1.673976434,CU123
30,3,72,1,3.17805383,CU123
30,3,51,2,2.833213344,CU123
30,3,55,3,2.908720897,CU123
30,3,57,4,2.944438979,CU123
30,3,37,5,2.512305624,CU123
30,3,66,6,3.091042453,CU123
32,3,96,1,3.465735903,CU123
32,3,103,2,3.5361167,CU123
32,3,174,3,4.060443011,CU123
32,3,111,4,3.610917913,CU123
32,3,149,5,3.905334017,CU123
32,3,122,6,3.705408756,CU123
38,3,64,1,3.060270795,CU123
38,3,86,2,3.355735008,CU123
38,3,84,3,3.33220451,CU123
38,3,85,4,3.344038968,CU123
38,3,82,5,3.308106959,CU123
38,3,108,6,3.583518938,CU123
13,3,1,1,-1.098612289,A*III
13,3,0.01,2,-5.703782475,A*III
13,3,2,3,-0.405465108,A*III
13,3,1,4,-1.098612289,A*III
13,3,1,5,-1.098612289,A*III
13,3,1,6,-1.098612289,A*III
19,3,3,1,0,A*III
19,3,3,2,0,A*III
19,3,4,3,0.287682072,A*III
19,3,3,4,0,A*III
19,3,4,5,0.287682072,A*III
19,3,2,6,-0.405465108,A*III
22,3,16,1,1.673976434,A*III
22,3,21,2,1.945910149,A*III
22,3,14,3,1.540445041,A*III
22,3,16,4,1.673976434,A*III
22,3,15,5,1.609437912,A*III
22,3,17,6,1.734601055,A*III
25,3,66,1,3.091042453,A*III
25,3,88,2,3.378724526,A*III
25,3,85,3,3.344038968,A*III
25,3,74,4,3.205452805,A*III
25,3,73,5,3.191847152,A*III
25,3,39,6,2.564949357,A*III
30,3,225,1,4.317488114,A*III
30,3,278,2,4.529008825,A*III
30,3,219,3,4.290459441,A*III
30,3,271,4,4.503506532,A*III
30,3,288,5,4.564348191,A*III
30,3,239,6,4.377851263,A*III
32,3,277,1,4.525405218,A*III
32,3,306,2,4.624972813,A*III
32,3,344,3,4.742029369,A*III
32,3,320,4,4.669708707,A*III
32,3,351,5,4.762173935,A*III
32,3,322,6,4.675939257,A*III
38,3,235,1,4.360973225,A*III
38,3,222,2,4.304065093,A*III
38,3,214,3,4.267363726,A*III
38,3,247,4,4.410776048,A*III
38,3,138,5,3.828641396,A*III
38,3,185,6,4.121743536,A*III
13,3,0.01,1,-5.703782475,B2086.2
13,3,2,2,-0.405465108,B2086.2
13,3,0.01,3,-5.703782475,B2086.2
13,3,2,4,-0.405465108,B2086.2
13,3,1,5,-1.098612289,B2086.2
13,3,1,6,-1.098612289,B2086.2
19,3,2,1,-0.405465108,B2086.2
19,3,1,2,-1.098612289,B2086.2
19,3,5,3,0.510825624,B2086.2
19,3,4,4,0.287682072,B2086.2
19,3,2,5,-0.405465108,B2086.2
19,3,3,6,0,B2086.2
22,3,9,1,1.098612289,B2086.2
22,3,9,2,1.098612289,B2086.2
22,3,7,3,0.84729786,B2086.2
22,3,12,4,1.386294361,B2086.2
22,3,3,5,0,B2086.2
22,3,5,6,0.510825624,B2086.2
25,3,54,1,2.890371758,B2086.2
25,3,75,2,3.218875825,B2086.2
25,3,58,3,2.961830722,B2086.2
25,3,83,4,3.320228319,B2086.2
25,3,62,5,3.028522096,B2086.2
25,3,77,6,3.245193133,B2086.2
30,3,535,1,5.183654458,B2086.2
30,3,492,2,5.099866428,B2086.2
30,3,460,3,5.032614201,B2086.2
30,3,581,4,5.266138468,B2086.2
30,3,455,5,5.02168513,B2086.2
30,3,501,6,5.117993812,B2086.2
32,3,536,1,5.185521872,B2086.2
32,3,518,2,5.151362954,B2086.2
32,3,587,3,5.276412531,B2086.2
32,3,405,4,4.905274778,B2086.2
32,3,532,5,5.178031201,B2086.2
32,3,450,6,5.010635294,B2086.2
38,3,570,1,5.247024072,B2086.2
38,3,555,2,5.220355825,B2086.2
38,3,712,3,5.469465623,B2086.2
38,3,602,4,5.301645157,B2086.2
38,3,447,5,5.003946306,B2086.2
38,3,696,6,5.446737372,B2086.2
13,3,2,1,-0.405465108,SB3539.1
13,3,2,2,-0.405465108,SB3539.1
13,3,0.01,3,-5.703782475,SB3539.1
13,3,1,4,-1.098612289,SB3539.1
13,3,0.01,5,-5.703782475,SB3539.1
13,3,1,6,-1.098612289,SB3539.1
19,3,7,1,0.84729786,SB3539.1
19,3,11,2,1.299282984,SB3539.1
19,3,8,3,0.980829253,SB3539.1
19,3,6,4,0.693147181,SB3539.1
19,3,14,5,1.540445041,SB3539.1
19,3,8,6,0.980829253,SB3539.1
22,3,36,1,2.48490665,SB3539.1
22,3,57,2,2.944438979,SB3539.1
22,3,37,3,2.512305624,SB3539.1
22,3,29,4,2.268683541,SB3539.1
22,3,42,5,2.63905733,SB3539.1
22,3,45,6,2.708050201,SB3539.1
25,3,203,1,4.21459369,SB3539.1
25,3,406,2,4.907740871,SB3539.1
25,3,208,3,4.238925791,SB3539.1
25,3,253,4,4.4347772,SB3539.1
25,3,250,5,4.422848629,SB3539.1
25,3,363,6,4.795790546,SB3539.1
30,3,1036,1,5.844510134,SB3539.1
30,3,1392,2,6.139884552,SB3539.1
30,3,1401,3,6.146329258,SB3539.1
30,3,1752,4,6.369900983,SB3539.1
30,3,1806,5,6.400257445,SB3539.1
30,3,658,6,5.390592643,SB3539.1
32,3,1120,1,5.922471676,SB3539.1
32,3,1101,2,5.905361848,SB3539.1
32,3,1386,3,6.135564891,SB3539.1
32,3,882,4,5.683579767,SB3539.1
32,3,1162,5,5.959285649,SB3539.1
32,3,844,6,5.639540206,SB3539.1
38,3,10,1,1.203972804,SB3539.1
38,3,12,2,1.386294361,SB3539.1
38,3,19,3,1.84582669,SB3539.1
38,3,10,4,1.203972804,SB3539.1
38,3,5,5,0.510825624,SB3539.1
38,3,19,6,1.84582669,SB3539.1
13,3,0.01,1,-5.703782475,A*V
13,3,5,2,0.510825624,A*V
13,3,4,3,0.287682072,A*V
13,3,3,4,0,A*V
13,3,5,5,0.510825624,A*V
13,3,4,6,0.287682072,A*V
19,3,10,1,1.203972804,A*V
19,3,17,2,1.734601055,A*V
19,3,22,3,1.992430165,A*V
19,3,11,4,1.299282984,A*V
19,3,19,5,1.84582669,A*V
19,3,14,6,1.540445041,A*V
22,3,45,1,2.708050201,A*V
22,3,34,2,2.427748236,A*V
22,3,47,3,2.751535313,A*V
22,3,58,4,2.961830722,A*V
22,3,56,5,2.926739402,A*V
22,3,15,6,1.609437912,A*V
25,3,11,1,1.299282984,A*V
25,3,165,2,4.007333185,A*V
25,3,115,3,3.64631984,A*V
25,3,55,4,2.908720897,A*V
25,3,134,5,3.799227511,A*V
25,3,156,6,3.951243719,A*V
30,3,996,1,5.805134969,A*V
30,3,653,2,5.382964841,A*V
30,3,783,3,5.564520407,A*V
30,3,919,4,5.724673834,A*V
30,3,843,5,5.638354669,A*V
30,3,906,6,5.710427017,A*V
32,3,6,1,0.693147181,A*V
32,3,992,2,5.801110819,A*V
32,3,634,3,5.353436666,A*V
32,3,274,4,4.514515818,A*V
32,3,1278,5,6.054439346,A*V
32,3,958,6,5.766235489,A*V
38,3,404,1,4.902802589,A*V
38,3,382,2,4.84680832,A*V
38,3,245,3,4.402645922,A*V
38,3,286,4,4.557379522,A*V
38,3,451,5,5.012855051,A*V
38,3,328,6,4.69440132,A*V
13,3,1,1,-1.098612289,CU438.1
13,3,1,2,-1.098612289,CU438.1
13,3,4,3,0.287682072,CU438.1
13,3,2,4,-0.405465108,CU438.1
13,3,0.01,5,-5.703782475,CU438.1
13,3,2,6,-0.405465108,CU438.1
19,3,10,1,1.203972804,CU438.1
19,3,12,2,1.386294361,CU438.1
19,3,13,3,1.466337069,CU438.1
19,3,9,4,1.098612289,CU438.1
19,3,17,5,1.734601055,CU438.1
19,3,12,6,1.386294361,CU438.1
22,3,21,1,1.945910149,CU438.1
22,3,44,2,2.685577345,CU438.1
22,3,28,3,2.233592222,CU438.1
22,3,44,4,2.685577345,CU438.1
22,3,46,5,2.730029108,CU438.1
22,3,31,6,2.335374916,CU438.1
25,3,271,1,4.503506532,CU438.1
25,3,158,2,3.963982744,CU438.1
25,3,266,3,4.48488402,CU438.1
25,3,234,4,4.356708827,CU438.1
25,3,195,5,4.17438727,CU438.1
25,3,209,6,4.243721963,CU438.1
30,3,1146,1,5.945420609,CU438.1
30,3,1230,2,6.01615716,CU438.1
30,3,1314,3,6.08221891,CU438.1
30,3,987,4,5.796057751,CU438.1
30,3,1276,5,6.052873175,CU438.1
30,3,1110,6,5.913503006,CU438.1
32,3,694,1,5.443859672,CU438.1
32,3,681,2,5.424950017,CU438.1
32,3,652,3,5.381432273,CU438.1
32,3,834,4,5.627621114,CU438.1
32,3,852,5,5.648974238,CU438.1
32,3,793,6,5.577210933,CU438.1
38,3,1200,1,5.991464547,CU438.1
38,3,975,2,5.783825182,CU438.1
38,3,1137,3,5.937536205,CU438.1
38,3,824,4,5.615558241,CU438.1
38,3,1113,5,5.916202063,CU438.1
38,3,1055,6,5.862683757,CU438.1
13,3,0.01,1,-5.703782475,CU428.2
13,3,1,2,-1.098612289,CU428.2
13,3,0.01,3,-5.703782475,CU428.2
13,3,1,4,-1.098612289,CU428.2
13,3,2,5,-0.405465108,CU428.2
13,3,1,6,-1.098612289,CU428.2
19,3,14,1,1.540445041,CU428.2
19,3,11,2,1.299282984,CU428.2
19,3,8,3,0.980829253,CU428.2
19,3,10,4,1.203972804,CU428.2
19,3,9,5,1.098612289,CU428.2
19,3,8,6,0.980829253,CU428.2
22,3,13,1,1.466337069,CU428.2
22,3,24,2,2.079441542,CU428.2
22,3,23,3,2.036881927,CU428.2
22,3,17,4,1.734601055,CU428.2
22,3,18,5,1.791759469,CU428.2
22,3,32,6,2.367123614,CU428.2
25,3,92,1,3.423176288,CU428.2
25,3,65,2,3.075774981,CU428.2
25,3,70,3,3.149882953,CU428.2
25,3,73,4,3.191847152,CU428.2
25,3,55,5,2.908720897,CU428.2
25,3,120,6,3.688879454,CU428.2
30,3,975,1,5.783825182,CU428.2
30,3,990,2,5.799092654,CU428.2
30,3,1155,3,5.953243334,CU428.2
30,3,630,4,5.347107531,CU428.2
30,3,810,5,5.598421959,CU428.2
30,3,825,6,5.616771098,CU428.2
32,3,1080,1,5.886104031,CU428.2
32,3,1991,2,6.497780015,CU428.2
32,3,997,3,5.806138481,CU428.2
32,3,1662,4,6.317164687,CU428.2
32,3,1784,5,6.388001024,CU428.2
32,3,1830,6,6.413458957,CU428.2
38,3,912,1,5.717027701,CU428.2
38,3,997,2,5.806138481,CU428.2
38,3,810,3,5.598421959,CU428.2
38,3,848,4,5.644268347,CU428.2
38,3,273,5,4.510859507,CU428.2
38,3,1623,6,6.293419279,CU428.2
13,3,0.01,1,-5.703782475,B*VII
13,3,0.01,2,-5.703782475,B*VII
13,3,1,3,-1.098612289,B*VII
13,3,1,4,-1.098612289,B*VII
13,3,0.01,5,-5.703782475,B*VII
13,3,1,6,-1.098612289,B*VII
19,3,2,1,-0.405465108,B*VII
19,3,2,2,-0.405465108,B*VII
19,3,4,3,0.287682072,B*VII
19,3,2,4,-0.405465108,B*VII
19,3,2,5,-0.405465108,B*VII
19,3,33,6,2.397895273,B*VII
22,3,7,1,0.84729786,B*VII
22,3,5,2,0.510825624,B*VII
22,3,16,3,1.673976434,B*VII
22,3,19,4,1.84582669,B*VII
22,3,5,5,0.510825624,B*VII
22,3,9,6,1.098612289,B*VII
25,3,49,1,2.793208009,B*VII
25,3,80,2,3.283414346,B*VII
25,3,27,3,2.197224577,B*VII
25,3,67,4,3.106080331,B*VII
25,3,51,5,2.833213344,B*VII
25,3,75,6,3.218875825,B*VII
30,3,330,1,4.700480366,B*VII
30,3,380,2,4.841558964,B*VII
30,3,204,3,4.219507705,B*VII
30,3,207,4,4.234106505,B*VII
30,3,311,5,4.641180624,B*VII
30,3,232,6,4.348125083,B*VII
32,3,428,1,4.960510907,B*VII
32,3,838,2,5.632405812,B*VII
32,3,472,3,5.058366697,B*VII
32,3,567,4,5.241747015,B*VII
32,3,551,5,5.21312252,B*VII
32,3,646,6,5.372187215,B*VII
38,3,1146,1,5.945420609,B*VII
38,3,1346,2,6.106280222,B*VII
38,3,1045,3,5.853159876,B*VII
38,3,1285,4,6.059901709,B*VII
38,3,11108,5,8.21680856,B*VII
38,3,1184,6,5.978041527,B*VII
13,3,3,1,0,CU427.4
13,3,1,2,-1.098612289,CU427.4
13,3,0.01,3,-5.703782475,CU427.4
13,3,2,4,-0.405465108,CU427.4
13,3,2,5,-0.405465108,CU427.4
13,3,2,6,-0.405465108,CU427.4
19,3,11,1,1.299282984,CU427.4
19,3,9,2,1.098612289,CU427.4
19,3,7,3,0.84729786,CU427.4
19,3,8,4,0.980829253,CU427.4
19,3,7,5,0.84729786,CU427.4
19,3,8,6,0.980829253,CU427.4
22,3,19,1,1.84582669,CU427.4
22,3,22,2,1.992430165,CU427.4
22,3,9,3,1.098612289,CU427.4
22,3,9,4,1.098612289,CU427.4
22,3,23,5,2.036881927,CU427.4
22,3,23,6,2.036881927,CU427.4
25,3,9,1,1.098612289,CU427.4
25,3,3,2,0,CU427.4
25,3,5,3,0.510825624,CU427.4
25,3,10,4,1.203972804,CU427.4
25,3,11,5,1.299282984,CU427.4
25,3,9,6,1.098612289,CU427.4
30,3,86,1,3.355735008,CU427.4
30,3,71,2,3.164067588,CU427.4
30,3,51,3,2.833213344,CU427.4
30,3,80,4,3.283414346,CU427.4
30,3,30,5,2.302585093,CU427.4
30,3,31,6,2.335374916,CU427.4
32,3,180,1,4.094344562,CU427.4
32,3,235,2,4.360973225,CU427.4
32,3,219,3,4.290459441,CU427.4
32,3,318,4,4.663439094,CU427.4
32,3,402,5,4.8978398,CU427.4
32,3,370,6,4.814890717,CU427.4
38,3,22,1,1.992430165,CU427.4
38,3,300,2,4.605170186,CU427.4
38,3,30,3,2.302585093,CU427.4
38,3,27,4,2.197224577,CU427.4
38,3,225,5,4.317488114,CU427.4
38,3,510,6,5.135798437,CU427.4
13,3,2,1,-0.405465108,A1868
13,3,4,2,0.287682072,A1868
13,3,3,3,0,A1868
13,3,3,4,0,A1868
13,3,4,5,0.287682072,A1868
13,3,5,6,0.510825624,A1868
19,3,4,1,0.287682072,A1868
19,3,5,2,0.510825624,A1868
19,3,6,3,0.693147181,A1868
19,3,7,4,0.84729786,A1868
19,3,4,5,0.287682072,A1868
19,3,4,6,0.287682072,A1868
22,3,12,1,1.386294361,A1868
22,3,6,2,0.693147181,A1868
22,3,7,3,0.84729786,A1868
22,3,9,4,1.098612289,A1868
22,3,10,5,1.203972804,A1868
22,3,6,6,0.693147181,A1868
25,3,25,1,2.120263536,A1868
25,3,26,2,2.159484249,A1868
25,3,26,3,2.159484249,A1868
25,3,36,4,2.48490665,A1868
25,3,16,5,1.673976434,A1868
25,3,18,6,1.791759469,A1868
30,3,71,1,3.164067588,A1868
30,3,64,2,3.060270795,A1868
30,3,73,3,3.191847152,A1868
30,3,50,4,2.813410717,A1868
30,3,72,5,3.17805383,A1868
30,3,78,6,3.258096538,A1868
32,3,70,1,3.149882953,A1868
32,3,80,2,3.283414346,A1868
32,3,57,3,2.944438979,A1868
32,3,60,4,2.995732274,A1868
32,3,49,5,2.793208009,A1868
32,3,35,6,2.456735773,A1868
38,3,3,1,0,A1868
38,3,6,2,0.693147181,A1868
38,3,9,3,1.098612289,A1868
38,3,17,4,1.734601055,A1868
38,3,4,5,0.287682072,A1868
38,3,6,6,0.693147181,A1868
13,3,1,1,-1.098612289,19877.1
13,3,0.01,2,-5.703782475,19877.1
13,3,0.01,3,-5.703782475,19877.1
13,3,0.01,4,-5.703782475,19877.1
13,3,0.01,5,-5.703782475,19877.1
13,3,1,6,-1.098612289,19877.1
19,3,3,1,0,19877.1
19,3,0.01,2,-5.703782475,19877.1
19,3,2,3,-0.405465108,19877.1
19,3,2,4,-0.405465108,19877.1
19,3,2,5,-0.405465108,19877.1
19,3,1,6,-1.098612289,19877.1
22,3,9,1,1.098612289,19877.1
22,3,10,2,1.203972804,19877.1
22,3,18,3,1.791759469,19877.1
22,3,19,4,1.84582669,19877.1
22,3,16,5,1.673976434,19877.1
22,3,12,6,1.386294361,19877.1
25,3,37,1,2.512305624,19877.1
25,3,48,2,2.772588722,19877.1
25,3,83,3,3.320228319,19877.1
25,3,37,4,2.512305624,19877.1
25,3,52,5,2.85263143,19877.1
25,3,79,6,3.270835564,19877.1
30,3,385,1,4.854631046,19877.1
30,3,332,2,4.70652268,19877.1
30,3,705,3,5.459585514,19877.1
30,3,652,4,5.381432273,19877.1
30,3,540,5,5.192956851,19877.1
30,3,702,6,5.455321115,19877.1
32,3,770,1,5.547778226,19877.1
32,3,860,2,5.658320101,19877.1
32,3,1378,3,6.129776163,19877.1
32,3,885,4,5.686975356,19877.1
32,3,1503,5,6.216606101,19877.1
32,3,753,6,5.525452939,19877.1
38,3,865,1,5.664117218,19877.1
38,3,593,2,5.28658211,19877.1
38,3,809,3,5.597186628,19877.1
38,3,952,4,5.759952746,19877.1
38,3,1297,5,6.069196896,19877.1
38,3,713,6,5.470869132,19877.1
13,3,2,1,-0.405465108,20441.1
13,3,1,2,-1.098612289,20441.1
