Temp,Initial,Final,Rep,r,Clone
13,3,0.01,3,-5.703782475,20441.1
13,3,1,4,-1.098612289,20441.1
13,3,2,5,-0.405465108,20441.1
13,3,3,6,0,20441.1
19,3,4,1,0.287682072,20441.1
19,3,9,2,1.098612289,20441.1
19,3,6,3,0.693147181,20441.1
19,3,1,4,-1.098612289,20441.1
19,3,6,5,0.693147181,20441.1
19,3,7,6,0.84729786,20441.1
22,3,13,1,1.466337069,20441.1
22,3,8,2,0.980829253,20441.1
22,3,13,3,1.466337069,20441.1
22,3,12,4,1.386294361,20441.1
22,3,29,5,2.268683541,20441.1
22,3,26,6,2.159484249,20441.1
25,3,62,1,3.028522096,20441.1
25,3,89,2,3.390024081,20441.1
25,3,135,3,3.80666249,20441.1
25,3,79,4,3.270835564,20441.1
25,3,46,5,2.730029108,20441.1
25,3,98,6,3.48635519,20441.1
30,3,574,1,5.254017108,20441.1
30,3,696,2,5.446737372,20441.1
30,3,672,3,5.411646052,20441.1
30,3,1074,4,5.880532986,20441.1
30,3,675,5,5.416100402,20441.1
30,3,586,6,5.274707501,20441.1
32,3,761,1,5.536021069,20441.1
32,3,1012,2,5.821071561,20441.1
32,3,803,3,5.589742425,20441.1
32,3,1172,4,5.967854681,20441.1
32,3,1497,5,6.212606096,20441.1
32,3,1684,6,6.330314906,20441.1
38,3,844,1,5.639540206,20441.1
38,3,1578,2,6.265301213,20441.1
38,3,1750,3,6.368758778,20441.1
38,3,1108,4,5.911699579,20441.1
38,3,1186,5,5.979729291,20441.1
38,3,982,6,5.79097902,20441.1
13,3,0.01,1,-5.703782475,B2192 III
13,3,0.01,2,-5.703782475,B2192 III
13,3,0.01,3,-5.703782475,B2192 III
13,3,0.01,4,-5.703782475,B2192 III
13,3,0.01,5,-5.703782475,B2192 III
13,3,0.01,6,-5.703782475,B2192 III
19,3,0.01,1,-5.703782475,B2192 III
19,3,0.01,2,-5.703782475,B2192 III
19,3,0.01,3,-5.703782475,B2192 III
19,3,1,4,-1.098612289,B2192 III
19,3,1,5,-1.098612289,B2192 III
19,3,1,6,-1.098612289,B2192 III
22,3,11,1,1.299282984,B2192 III
22,3,6,2,0.693147181,B2192 III
22,3,9,3,1.098612289,B2192 III
22,3,4,4,0.287682072,B2192 III
22,3,10,5,1.203972804,B2192 III
22,3,7,6,0.84729786,B2192 III
25,3,21,1,1.945910149,B2192 III
25,3,16,2,1.673976434,B2192 III
25,3,19,3,1.84582669,B2192 III
25,3,21,4,1.945910149,B2192 III
25,3,19,5,1.84582669,B2192 III
25,3,9,6,1.098612289,B2192 III
30,3,239,1,4.377851263,B2192 III
30,3,239,2,4.377851263,B2192 III
30,3,248,3,4.414816457,B2192 III
30,3,262,4,4.469732215,B2192 III
30,3,227,5,4.326337729,B2192 III
30,3,290,6,4.571268634,B2192 III
32,3,91,1,3.412247218,B2192 III
32,3,62,2,3.028522096,B2192 III
32,3,107,3,3.574216546,B2192 III
32,3,78,4,3.258096538,B2192 III
32,3,53,5,2.871679625,B2192 III
32,3,56,6,2.926739402,B2192 III
38,3,298,1,4.598481198,B2192 III
38,3,252,2,4.430816799,B2192 III
38,3,151,3,3.918667548,B2192 III
38,3,198,4,4.189654742,B2192 III
38,3,103,5,3.5361167,B2192 III
38,3,149,6,3.905334017,B2192 III
13,3,0.01,1,-5.703782475,CU304
13,3,0.01,2,-5.703782475,CU304
13,3,0.01,3,-5.703782475,CU304
13,3,0.01,4,-5.703782475,CU304
13,3,0.01,5,-5.703782475,CU304
13,3,0.01,6,-5.703782475,CU304
19,3,2,1,-0.405465108,CU304
19,3,1,2,-1.098612289,CU304
19,3,1,3,-1.098612289,CU304
19,3,0.01,4,-5.703782475,CU304
19,3,2,5,-0.405465108,CU304
19,3,0.01,6,-5.703782475,CU304
22,3,5,1,0.510825624,CU304
22,3,5,2,0.510825624,CU304
22,3,6,3,0.693147181,CU304
22,3,4,4,0.287682072,CU304
22,3,6,5,0.693147181,CU304
22,3,7,6,0.84729786,CU304
25,3,7,1,0.84729786,CU304
25,3,9,2,1.098612289,CU304
25,3,8,3,0.980829253,CU304
25,3,6,4,0.693147181,CU304
25,3,3,5,0,CU304
25,3,6,6,0.693147181,CU304
30,3,107,1,3.574216546,CU304
30,3,0.01,2,-5.703782475,CU304
30,3,71,3,3.164067588,CU304
30,3,73,4,3.191847152,CU304
30,3,78,5,3.258096538,CU304
30,3,51,6,2.833213344,CU304
32,3,107,1,3.574216546,CU304
32,3,108,2,3.583518938,CU304
32,3,112,3,3.619886583,CU304
32,3,136,4,3.814042597,CU304
32,3,127,5,3.745574798,CU304
32,3,165,6,4.007333185,CU304
38,3,26,1,2.159484249,CU304
38,3,46,2,2.730029108,CU304
38,3,37,3,2.512305624,CU304
38,3,46,4,2.730029108,CU304
38,3,72,5,3.17805383,CU304
38,3,15,6,1.609437912,CU304
13,3,1,1,-1.098612289,IA280
13,3,2,2,-0.405465108,IA280
13,3,0.01,3,-5.703782475,IA280
13,3,0.01,4,-5.703782475,IA280
13,3,0.01,5,-5.703782475,IA280
13,3,1,6,-1.098612289,IA280
19,3,4,1,0.287682072,IA280
19,3,2,2,-0.405465108,IA280
19,3,0.01,3,-5.703782475,IA280
19,3,4,4,0.287682072,IA280
19,3,4,5,0.287682072,IA280
19,3,2,6,-0.405465108,IA280
22,3,12,1,1.386294361,IA280
22,3,12,2,1.386294361,IA280
22,3,6,3,0.693147181,IA280
22,3,7,4,0.84729786,IA280
22,3,10,5,1.203972804,IA280
22,3,12,6,1.386294361,IA280
25,3,31,1,2.335374916,IA280
25,3,33,2,2.397895273,IA280
25,3,30,3,2.302585093,IA280
25,3,26,4,2.159484249,IA280
25,3,30,5,2.302585093,IA280
25,3,29,6,2.268683541,IA280
30,3,2970,1,6.897704943,IA280
30,3,2190,2,6.593044534,IA280
30,3,2580,3,6.756932389,IA280
30,3,2400,4,6.684611728,IA280
30,3,2100,5,6.551080335,IA280
30,3,1740,6,6.363028104,IA280
32,3,397,1,4.885323992,IA280
32,3,401,2,4.895349139,IA280
32,3,453,3,5.017279837,IA280
32,3,307,4,4.628235459,IA280
32,3,388,5,4.862393051,IA280
32,3,409,6,4.915102867,IA280
38,3,4230,1,7.251344983,IA280
38,3,7590,2,7.835974582,IA280
38,3,4350,3,7.279318835,IA280
38,3,4740,4,7.365180126,IA280
38,3,2700,5,6.802394763,IA280
38,3,3390,6,7.029972912,IA280
13,3,0.01,1,-5.703782475,SB1518
13,3,0.01,2,-5.703782475,SB1518
13,3,0.01,3,-5.703782475,SB1518
13,3,0.01,4,-5.703782475,SB1518
13,3,0.01,5,-5.703782475,SB1518
13,3,0.01,6,-5.703782475,SB1518
19,3,6,1,0.693147181,SB1518
19,3,5,2,0.510825624,SB1518
19,3,5,3,0.510825624,SB1518
19,3,0.01,4,-5.703782475,SB1518
19,3,5,5,0.510825624,SB1518
19,3,3,6,0,SB1518
22,3,9,1,1.098612289,SB1518
22,3,12,2,1.386294361,SB1518
22,3,14,3,1.540445041,SB1518
22,3,15,4,1.609437912,SB1518
22,3,18,5,1.791759469,SB1518
22,3,11,6,1.299282984,SB1518
25,3,86,1,3.355735008,SB1518
25,3,42,2,2.63905733,SB1518
25,3,36,3,2.48490665,SB1518
25,3,43,4,2.662587827,SB1518
25,3,32,5,2.367123614,SB1518
25,3,53,6,2.871679625,SB1518
30,3,960,1,5.768320996,SB1518
30,3,1500,2,6.214608098,SB1518
30,3,2610,3,6.768493212,SB1518
30,3,2700,4,6.802394763,SB1518
30,3,1650,5,6.309918278,SB1518
30,3,1560,6,6.253828812,SB1518
32,3,3960,1,7.185387016,SB1518
32,3,2130,2,6.56526497,SB1518
32,3,4020,3,7.200424893,SB1518
32,3,3270,4,6.993932975,SB1518
32,3,3420,5,7.038783541,SB1518
32,3,2340,6,6.65929392,SB1518
38,3,1620,1,6.29156914,SB1518
38,3,1500,2,6.214608098,SB1518
38,3,1380,3,6.131226489,SB1518
38,3,1140,4,5.940171253,SB1518
38,3,240,5,4.382026635,SB1518
38,3,390,6,4.86753445,SB1518
13,3,1,1,-1.098612289,CU4106
13,3,0.01,2,-5.703782475,CU4106
13,3,2,3,-0.405465108,CU4106
13,3,0.01,4,-5.703782475,CU4106
13,3,1,5,-1.098612289,CU4106
13,3,1,6,-1.098612289,CU4106
19,3,10,1,1.203972804,CU4106
19,3,13,2,1.466337069,CU4106
19,3,11,3,1.299282984,CU4106
19,3,9,4,1.098612289,CU4106
19,3,15,5,1.609437912,CU4106
19,3,16,6,1.673976434,CU4106
22,3,63,1,3.044522438,CU4106
22,3,54,2,2.890371758,CU4106
22,3,57,3,2.944438979,CU4106
22,3,69,4,3.135494216,CU4106
22,3,41,5,2.614959778,CU4106
22,3,74,6,3.205452805,CU4106
25,3,226,1,4.321922711,CU4106
25,3,187,2,4.132496328,CU4106
25,3,336,3,4.718498871,CU4106
25,3,237,4,4.369447852,CU4106
25,3,313,5,4.647590902,CU4106
25,3,195,6,4.17438727,CU4106
30,3,17010,1,8.642944397,CU4106
30,3,18060,2,8.702842538,CU4106
30,3,15360,3,8.540909718,CU4106
30,3,16830,4,8.632305999,CU4106
30,3,19620,5,8.785692444,CU4106
30,3,17880,6,8.69282576,CU4106
32,3,10290,1,8.14031554,CU4106
32,3,16830,2,8.632305999,CU4106
32,3,13290,3,8.396154863,CU4106
32,3,14820,4,8.50512061,CU4106
32,3,15360,5,8.540909718,CU4106
32,3,14460,6,8.480529207,CU4106
38,3,8070,1,7.897296473,CU4106
38,3,12060,2,8.299037182,CU4106
38,3,14310,3,8.470101584,CU4106
38,3,9090,4,8.016317899,CU4106
38,3,10170,5,8.1285852,CU4106
38,3,7200,6,7.783224016,CU4106
13,3,0.01,1,-5.703782475,IA388
13,3,2,2,-0.405465108,IA388
13,3,10,3,1.203972804,IA388
13,3,1,4,-1.098612289,IA388
13,3,3,5,0,IA388
13,3,4,6,0.287682072,IA388
19,3,1,1,-1.098612289,IA388
19,3,2,2,-0.405465108,IA388
19,3,1,3,-1.098612289,IA388
19,3,0.01,4,-5.703782475,IA388
19,3,0.01,5,-5.703782475,IA388
19,3,2,6,-0.405465108,IA388
22,3,6,1,0.693147181,IA388
22,3,4,2,0.287682072,IA388
22,3,5,3,0.510825624,IA388
22,3,8,4,0.980829253,IA388
22,3,5,5,0.510825624,IA388
22,3,4,6,0.287682072,IA388
25,3,10,1,1.203972804,IA388
25,3,6,2,0.693147181,IA388
25,3,7,3,0.84729786,IA388
25,3,8,4,0.980829253,IA388
25,3,6,5,0.693147181,IA388
25,3,9,6,1.098612289,IA388
30,3,176,1,4.071871706,IA388
30,3,132,2,3.784189634,IA388
30,3,136,3,3.814042597,IA388
30,3,63,4,3.044522438,IA388
30,3,116,5,3.654977902,IA388
30,3,132,6,3.784189634,IA388
32,3,115,1,3.64631984,IA388
32,3,108,2,3.583518938,IA388
32,3,114,3,3.63758616,IA388
32,3,87,4,3.36729583,IA388
32,3,64,5,3.060270795,IA388
32,3,124,6,3.721669277,IA388
38,3,18,1,1.791759469,IA388
38,3,13,2,1.466337069,IA388
38,3,19,3,1.84582669,IA388
38,3,23,4,2.036881927,IA388
38,3,39,5,2.564949357,IA388
38,3,18,6,1.791759469,IA388
13,3,0.01,1,-5.703782475,19617-1
13,3,1,2,-1.098612289,19617-1
13,3,1,3,-1.098612289,19617-1
13,3,3,4,0,19617-1
13,3,4,5,0.287682072,19617-1
13,3,0.01,6,-5.703782475,19617-1
19,3,0.01,1,-5.703782475,19617-1
19,3,3,2,0,19617-1
19,3,0.01,3,-5.703782475,19617-1
19,3,1,4,-1.098612289,19617-1
19,3,2,5,-0.405465108,19617-1
19,3,1,6,-1.098612289,19617-1
22,3,3,1,0,19617-1
22,3,2,2,-0.405465108,19617-1
22,3,0.01,3,-5.703782475,19617-1
22,3,4,4,0.287682072,19617-1
22,3,1,5,-1.098612289,19617-1
22,3,3,6,0,19617-1
25,3,7,1,0.84729786,19617-1
25,3,6,2,0.693147181,19617-1
25,3,12,3,1.386294361,19617-1
25,3,29,4,2.268683541,19617-1
25,3,19,5,1.84582669,19617-1
25,3,21,6,1.945910149,19617-1
30,3,66,1,3.091042453,19617-1
30,3,61,2,3.012261576,19617-1
30,3,120,3,3.688879454,19617-1
30,3,73,4,3.191847152,19617-1
30,3,70,5,3.149882953,19617-1
30,3,83,6,3.320228319,19617-1
32,3,107,1,3.574216546,19617-1
32,3,137,2,3.821368637,19617-1
32,3,72,3,3.17805383,19617-1
32,3,145,4,3.878121454,19617-1
32,3,158,5,3.963982744,19617-1
32,3,58,6,2.961830722,19617-1
38,3,120,1,3.688879454,19617-1
38,3,57,2,2.944438979,19617-1
38,3,540,3,5.192956851,19617-1
38,3,750,4,5.521460918,19617-1
38,3,963,5,5.771441123,19617-1
38,3,64,6,3.060270795,19617-1
13,3,1,1,-1.098612289,DMCK72H
13,3,1,2,-1.098612289,DMCK72H
13,3,0.01,3,-5.703782475,DMCK72H
13,3,2,4,-0.405465108,DMCK72H
13,3,0.01,5,-5.703782475,DMCK72H
13,3,0.01,6,-5.703782475,DMCK72H
19,3,4,1,0.287682072,DMCK72H
19,3,2,2,-0.405465108,DMCK72H
19,3,3,3,0,DMCK72H
19,3,2,4,-0.405465108,DMCK72H
19,3,5,5,0.510825624,DMCK72H
19,3,2,6,-0.405465108,DMCK72H
22,3,6,1,0.693147181,DMCK72H
22,3,2,2,-0.405465108,DMCK72H
22,3,7,3,0.84729786,DMCK72H
22,3,12,4,1.386294361,DMCK72H
22,3,8,5,0.980829253,DMCK72H
22,3,15,6,1.609437912,DMCK72H
25,3,12,1,1.386294361,DMCK72H
25,3,21,2,1.945910149,DMCK72H
25,3,26,3,2.159484249,DMCK72H
25,3,22,4,1.992430165,DMCK72H
25,3,13,5,1.466337069,DMCK72H
25,3,14,6,1.540445041,DMCK72H
30,3,2460,1,6.70930434,DMCK72H
30,3,2010,2,6.507277712,DMCK72H
30,3,1980,3,6.492239835,DMCK72H
30,3,3120,4,6.946975992,DMCK72H
30,3,2760,5,6.82437367,DMCK72H
30,3,2250,6,6.620073207,DMCK72H
32,3,4710,1,7.358830898,DMCK72H
32,3,3030,2,6.91770561,DMCK72H
32,3,4770,3,7.371489295,DMCK72H
32,3,2430,4,6.697034248,DMCK72H
32,3,2940,5,6.887552572,DMCK72H
32,3,7230,6,7.787382026,DMCK72H
38,3,6690,1,7.709756864,DMCK72H
38,3,5160,2,7.45007957,DMCK72H
38,3,7530,3,7.828038032,DMCK72H
38,3,6540,4,7.687080156,DMCK72H
38,3,5340,5,7.484368643,DMCK72H
38,3,3600,6,7.090076836,DMCK72H
13,3,0.01,1,-5.703782475,IMB6
13,3,0.01,2,-5.703782475,IMB6
13,3,0.01,3,-5.703782475,IMB6
13,3,0.01,4,-5.703782475,IMB6
13,3,0.01,5,-5.703782475,IMB6
13,3,0.01,6,-5.703782475,IMB6
19,3,2,1,-0.405465108,IMB6
19,3,0.01,2,-5.703782475,IMB6
19,3,0.01,3,-5.703782475,IMB6
19,3,1,4,-1.098612289,IMB6
19,3,0.01,5,-5.703782475,IMB6
19,3,0.01,6,-5.703782475,IMB6
22,3,6,1,0.693147181,IMB6
22,3,2,2,-0.405465108,IMB6
22,3,0.01,3,-5.703782475,IMB6
22,3,0.01,4,-5.703782475,IMB6
22,3,3,5,0,IMB6
22,3,4,6,0.287682072,IMB6
25,3,13,1,1.466337069,IMB6
25,3,9,2,1.098612289,IMB6
25,3,8,3,0.980829253,IMB6
25,3,5,4,0.510825624,IMB6
25,3,5,5,0.510825624,IMB6
25,3,0.01,6,-5.703782475,IMB6
30,3,300,1,4.605170186,IMB6
30,3,690,2,5.438079309,IMB6
30,3,840,3,5.634789603,IMB6
30,3,750,4,5.521460918,IMB6
30,3,210,5,4.248495242,IMB6
30,3,390,6,4.86753445,IMB6
32,3,2790,1,6.835184586,IMB6
32,3,1020,2,5.828945618,IMB6
32,3,1110,3,5.913503006,IMB6
32,3,840,4,5.634789603,IMB6
32,3,930,5,5.736572297,IMB6
32,3,1260,6,6.040254711,IMB6
38,3,630,1,5.347107531,IMB6
38,3,90,2,3.401197382,IMB6
38,3,240,3,4.382026635,IMB6
38,3,570,4,5.247024072,IMB6
38,3,870,5,5.669880923,IMB6
38,3,630,6,5.347107531,IMB6
13,3,0.01,1,-5.703782475,AXS
13,3,0.01,2,-5.703782475,AXS
13,3,0.01,3,-5.703782475,AXS
13,3,0.01,4,-5.703782475,AXS
13,3,1,5,-1.098612289,AXS
13,3,0.01,6,-5.703782475,AXS
19,3,0.01,1,-5.703782475,AXS
19,3,2,2,-0.405465108,AXS
19,3,1,3,-1.098612289,AXS
19,3,1,4,-1.098612289,AXS
19,3,0.01,5,-5.703782475,AXS
19,3,1,6,-1.098612289,AXS
22,3,0.01,1,-5.703782475,AXS
22,3,3,2,0,AXS
22,3,6,3,0.693147181,AXS
22,3,10,4,1.203972804,AXS
22,3,13,5,1.466337069,AXS
22,3,7,6,0.84729786,AXS
25,3,18,1,1.791759469,AXS
25,3,51,2,2.833213344,AXS
25,3,29,3,2.268683541,AXS
25,3,11,4,1.299282984,AXS
25,3,9,5,1.098612289,AXS
25,3,34,6,2.427748236,AXS
30,3,10290,1,8.14031554,AXS
30,3,2760,2,6.82437367,AXS
30,3,5760,3,7.560080465,AXS
30,3,5550,4,7.522940918,AXS
30,3,5340,5,7.484368643,AXS
30,3,4440,6,7.299797367,AXS
32,3,10140,1,8.125630988,AXS
32,3,8100,2,7.901007052,AXS
32,3,4800,3,7.377758908,AXS
32,3,6750,4,7.718685495,AXS
32,3,9720,5,8.083328609,AXS
32,3,9570,6,8.067776196,AXS
38,3,11640,1,8.263590433,AXS
38,3,16560,2,8.616133139,AXS
38,3,7950,3,7.882314919,AXS
38,3,14940,4,8.51318517,AXS
38,3,12750,5,8.354674262,AXS
38,3,13740,6,8.429454277,AXS