Temp,Initial,Final,r,Clone
19,3,5,0.510825624,CU416
19,3,3,0,CU416
19,3,5,0.510825624,CU416
19,3,13,1.466337069,CU416
19,3,11,1.299282984,CU416
19,3,12,1.386294361,CU416
22,3,18,1.791759469,CU416
22,3,17,1.734601055,CU416
22,3,19,1.84582669,CU416
22,3,19,1.84582669,CU416
22,3,18,1.791759469,CU416
22,3,18,1.791759469,CU416
25,3,56,2.926739402,CU416
25,3,63,3.044522438,CU416
25,3,30,2.302585093,CU416
25,3,89,3.390024081,CU416
25,3,56,2.926739402,CU416
25,3,73,3.191847152,CU416
30,3,1560,6.253828812,CU416
30,3,2520,6.733401892,CU416
30,3,2130,6.56526497,CU416
30,3,2100,6.551080335,CU416
30,3,2280,6.633318433,CU416
30,3,2760,6.82437367,CU416
32,3,5820,7.570443252,CU416
32,3,3360,7.021083964,CU416
32,3,4170,7.237059026,CU416
32,3,9750,8.086410275,CU416
32,3,7590,7.835974582,CU416
32,3,7020,7.757906208,CU416
38,3,9240,8.032684876,CU416
38,3,20760,8.842171049,CU416
38,3,16380,8.605204069,CU416
38,3,12870,8.364042012,CU416
38,3,12900,8.366370302,CU416
38,3,14100,8.455317788,CU416
19,3,8,0.980829253,AXS
19,3,10,1.203972804,AXS
19,3,6,0.693147181,AXS
19,3,3,0,AXS
19,3,7,0.84729786,AXS
19,3,9,1.098612289,AXS
22,3,16,1.673976434,AXS
22,3,12,1.386294361,AXS
22,3,19,1.84582669,AXS
22,3,25,2.120263536,AXS
22,3,24,2.079441542,AXS
22,3,27,2.197224577,AXS
25,3,109,3.592735594,AXS
25,3,98,3.48635519,AXS
25,3,69,3.135494216,AXS
25,3,108,3.583518938,AXS
25,3,173,4.054679306,AXS
25,3,220,4.295015258,AXS
30,3,4080,7.215239979,AXS
30,3,4740,7.365180126,AXS
30,3,4680,7.3524411,AXS
30,3,4440,7.299797367,AXS
30,3,4980,7.414572881,AXS
30,3,5160,7.45007957,AXS
32,3,5640,7.539027056,AXS
32,3,7380,7.807916629,AXS
32,3,14160,8.459564079,AXS
32,3,11520,8.253227646,AXS
32,3,14490,8.482601747,AXS
32,3,13320,8.398409655,AXS
38,3,20200,8.814825595,AXS
38,3,18720,8.738735461,AXS
38,3,25410,9.044285788,AXS
38,3,19530,8.781094735,AXS
38,3,20010,8.805375139,AXS
38,3,15930,8.577347114,AXS